Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.9897051347229283,0.9827110999749437,0.9969496695475343,0.9897791798107256,0.999568373847177
Svm,0.9866548042704626,0.9806678383128296,0.9928825622775801,0.986737400530504,0.999125440122985
Bert,0.9726741230299949,0.9510065486296386,0.9966954753431622,0.9733151297008812,0.9975181173139206
Bilstm,0.971021860701576,0.9667506297229219,0.9755973563802746,0.9711538461538461,0.9963165747802649
Random Forest,0.9572953736654805,0.9570630081300813,0.9575495678698526,0.9573062261753494,0.9922461721609402
Xgboost,0.48106253177427555,0.3431578947368421,0.04143365531265887,0.07393966885915174,0.7151711617385903
