model,accuracy,precision,recall,f1_score,roc_auc,training_time
BiLSTM,0.971021860701576,0.9667506297229219,0.9755973563802746,0.9711538461538461,0.9963165747802649,3406.441665172577
BERT,0.9726741230299949,0.9510065486296386,0.9966954753431622,0.9733151297008812,0.9975181173139206,
