Method,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Weighted Average,0.9959328927300457,0.9959328927300457,0.9959328927300457,0.9959328927300457,0.999814491214857
Stacking,0.9955516014234875,0.9946714031971581,0.99644128113879,0.9955555555555555,0.9998197250050336
Soft Voting,0.994534824605999,0.9936564323775692,0.9954245043213015,0.9945396825396825,0.9997644148273663
Hard Voting,0.9921199796644636,0.9943820224719101,0.9898322318251144,0.9921019108280255,0.9997644148273663
